CdPt	Bitmap
0020	0000000000
0021	0000f40000
0022	00c000c000
0023	48fc48fc48
0024	2454fc5448
0025	c48830448c
0026	58a4b44814
0027	00a0c00000
0028	0078840000
0029	0000847800
002a	28107c1028
002b	10107c1010
002c	0014180000
002d	1010101010
002e	000c0c0000
002f	0004186080
0030	788cb4c478
0031	0044fc0400
0032	448c94a444
0033	4884a4a458
0034	103050fc10
0035	e4a4a4a498
0036	78a4a4a498
0037	80809ca0c0
0038	58a4a4a458
0039	6494949478
003a	00006c6c00
003b	0004580000
003c	0010284400
003d	4848484848
003e	0044281000
003f	408094a040
0040	5ca4bc847c
0041	7c9090907c
0042	84fca4a458
0043	7884848448
0044	84fc848478
0045	fca4a4a484
0046	fca0a0a080
0047	788494945c
0048	fc202020fc
0049	0084fc8400
004a	080484f880
004b	fc10304884
004c	fc04040404
004d	fc403040fc
004e	fc402010fc
004f	7884848478
0050	fc90909060
0051	7884948874
0052	fc90989464
0053	48a4a4a498
0054	8080fc8080
0055	f8040404f8
0056	f0080408f0
0057	fc083008fc
0058	8c5020508c
0059	c0201c20c0
005a	8c94a4c484
005b	00fc848400
005c	8060180400
005d	008484fc00
005e	2040804020
005f	0404040404
0060	00c0a00000
0061	085454543c
0062	fc24444438
0063	3844444444
0064	38444424fc
0065	3854545434
0066	207ca0a000
0067	2454545478
0068	fc1020201c
0069	0024bc0400
006a	080424b800
006b	fc10284400
006c	000080fc00
006d	7c4030403c
006e	7c2040403c
006f	3844444438
0070	7c50505020
0071	205050507c
0072	7c20404020
0073	2454545448
0074	40f8440408
0075	780404087c
0076	7008040870
0077	7804180478
0078	4428102844
0079	6414141478
007a	444c546444
007b	106c820000
007c	0000fc0000
007d	0000826c10
007e	2040300810
007f	0000000000